date,max_temperature,avg_hourly_temperature,avg_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_hourly_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_hourly_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_hourly_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,avg_visibility,min_visibility,max_health_index,avg_hourly_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_7,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise_hhmm,sunrise_unixtime,sunrise_f,sunset_hhmm,sunset_unixtime,sunset_f,daylight,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_hourly_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_hourly_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_hourly_cloud_cover_10,avg_cloud_cover_10,min_cloud_cover_10
2021-07-24,22.8,20.94,20.45,18.1,30,,97,80.9,79.5,62,20.9,17.5,16.7,12.5,20,11.88,10.5,1,40,22,101.94,101.41,101.33,100.71,99.87,99.35,99.27,98.67,24100,20029.2,14450,4800,,,,,0,2.5,15.4,13.4,10.4,19.2,19.2,0,,5:58:00,1627120680,5.97,20:50:00,1627174200,20.83,14.87,8,8,25,26,20,21,,,,,,8,6.1,4,0,,,,
2021-07-25,30,23.78,24.2,18.4,36,,96,69.7,67.5,39,20.4,17.3,16.6,12.8,32,14.96,19,6,41,27,101.25,101.02,101.01,100.76,99.21,98.98,98.97,98.72,24100,19500,18500,12900,,,,,0,6.2,19.2,17.2,14.2,0,0,0,,5:59:00,1627207140,5.98,20:49:00,1627260540,20.82,14.83,8,8,30,30,19,19,,,,,,8,2.9,4,0,,,,
2021-07-26,30.4,24.57,23.5,16.6,34,,80,54.4,58.5,37,16.4,14.3,14.3,12.3,23,12.58,13.5,4,44,27,101.44,101.31,101.35,101.25,99.4,99.27,99.31,99.21,24100,19500,18500,12900,,,,,0,5.5,18.5,16.5,13.5,0,0,0,,6:00:00,1627293600,6,20:48:00,1627346880,20.8,14.8,8,8,31,31,18,19,,,,,,7,2.1,3.5,0,,,,
2021-07-27,26.1,21.04,21.35,16.6,31,,88,74.2,75.5,63,19.7,16.3,16.6,13.6,30,12.29,16.5,3,45,32,101.66,101.45,101.5,101.33,99.59,99.4,99.44,99.29,24100,22829.2,13650,3200,,,,,0,3.4,16.4,14.3,11.3,5.6,5.6,0,,6:01:00,1627380060,6.02,20:47:00,1627433220,20.78,14.77,7,7,25,25,16,18,,,,,,8,4.5,4,0,,,,
2021-07-28,24,20.74,20.5,17,29,,94,74.2,74,54,17.5,15.8,15.2,12.8,20,11.04,12,4,,,101.91,101.75,101.74,101.57,99.84,99.68,99.67,99.51,24100,24100,24100,24100,,,,,0,2.5,15.5,13.5,10.5,0,0,0,,6:02:00,1627466520,6.03,20:46:00,1627519560,20.77,14.73,7,7,24,24,18,18,,,,,,8,4.2,4,0,,,,
2021-07-29,27.2,21.63,22.79,18.4,33,,98,79.7,79,60,19.7,17.9,17.8,15.8,26,10.83,13.5,1,38,35,101.45,100.96,101.03,100.62,99.39,98.91,98.99,98.59,24100,22095.8,15250,6400,,,,,0,4.8,17.8,15.8,12.8,11.4,11.4,0,,6:03:00,1627552980,6.05,20:45:00,1627605900,20.75,14.7,5,7,22,22,15,16,,,,,,8,5.8,4,0,,,,
2021-07-30,20.1,17.66,16.64,13.2,,,86,63.8,67.5,49,16.9,10.5,12.2,7.4,35,24.33,23,11,50,34,101.8,101.55,101.41,101.01,99.71,99.48,99.34,98.97,24100,24100,24100,24100,,,,,1.4,0,11.6,9.6,6.6,0,0,0,,6:04:00,1627639440,6.07,20:44:00,1627692240,20.73,14.67,7,7,19,19,11,13,,,,,,6,2.3,3,0,,,,
2021-07-31,21.5,17.15,16.25,11,,,85,68.5,66,47,16,11.1,12.3,8.6,18,9.83,10,2,32,14,101.78,101.51,101.42,101.06,99.7,99.43,99.35,99,24100,23766.7,20100,16100,,,,,1.8,0,11.2,9.2,6.2,1,1,0,,6:05:00,1627725900,6.08,20:42:00,1627778520,20.7,14.62,8,8,23,23,16,16,,,,,,8,5,4,0,,,,
2021-08-01,20.7,17.73,18.14,15.6,,,91,79.8,76.5,62,15.4,14.2,14.2,13.1,26,16.83,16.5,7,38,35,101.54,101.12,101.23,100.92,99.46,99.05,99.16,98.86,24100,23891.3,21700,19300,,,,,0,0.1,13.1,11.1,8.1,,,0,,6:06:00,1627812360,6.1,20:41:00,1627864860,20.68,14.58,3,5,20,20,14,14,,,,,,8,6.3,4.5,1,,,,
2021-08-02,24.9,19.3,19,13.1,26,,87,58,59.5,32,11.9,10.2,9.2,6.4,21,13.42,13,5,32,32,101.93,101.77,101.74,101.56,99.85,99.7,99.67,99.48,24100,24100,24100,24100,,,,,0,1,14,12,9,0,0,0,,6:07:00,1627898820,6.12,20:40:00,1627951200,20.67,14.55,8,8,25,25,14,14,,,,,,4,1.5,2,0,,,,
